Kepler ID,Teff
757076,5174
757099,5589
757137,4879
757218,4555
757231,4825
757280,6648
757450,5101
891901,6051
891916,5407
892010,4665
892107,5029
892195,5553
892203,5913
892376,3813
892553,4481
892667,6649
892675,6357
892678,6167
892713,6194
892718,4927
892738,4459
892760,5090
892772,4858
892828,6722
892832,5001
892834,4795
892882,5090
892911,5528
892946,6016
892977,5861
892986,5618
893004,5921
893033,4707
893165,6025
893209,6083
893210,4135
893214,4967
893233,4057
893234,6666
893286,5252
893288,4572
893305,4133
893383,5442
893468,6004
893505,5802
893507,5212
893559,5120
893647,4712
893676,5080
893730,5115
893750,5034
893940,6104
893944,6403
893946,5948
1025494,6118
1025578,4928
1025623,4117
1025816,4407
1025859,3554
1025986,5966
1026032,5715
1026084,4964
1026089,4722
1026133,6825
1026146,4261
1026165,5294
1026173,4516
1026180,4674
1026255,6886
1026287,4911
1026294,7939
1026309,4456
1026321,5580
1026326,4978
1026328,4774
1026356,6283
1026400,5915
1026452,5111
1026473,5041
1026474,4122
1026475,6682
1026504,5385
1026647,6518
1026669,6244
1026838,6468
1026861,6997
1026895,3977
1026911,6548
1026957,4845
1026992,4673
1027016,4643
1027030,6000
1027110,4155
1027226,4958
1027252,4809
1027277,4326
1027330,4698
1027337,4841
1027338,6446
1027397,4913
1027438,6452
1027536,6264
1027582,4864
1027631,4632
1027696,6196
1027707,
1027710,5057
1027740,5751
1027842,4444
1027877,5386
1027900,
1027948,5904
1028012,6431
1028018,6233
1028085,10721
1028120,6613
1028201,5672
1028246,5231
1028267,5032
1028354,5151
1028424,3185
1028640,6309
1028843,5005
1160655,
1160660,4232
1160684,3952
1160789,4748
1160867,3753
1160887,4352
1160891,5929
1160919,5956
1160947,4426
1160986,4223
1161092,5537
1161137,6315
1161145,6429
1161315,4247
1161338,5621
1161345,5836
1161402,6671
1161432,5797
1161447,4848
1161491,5096
1161501,4574
1161537,6456
1161557,4499
1161618,4923
1161620,6355
1161699,4558
1161803,6204
1161869,5017
1161908,6518
1161949,6586
1161965,3269
1162036,4644
1162051,6223
1162150,6871
1162181,4911
1162220,4089
1162222,5031
1162339,6574
