,bin_number,lower_bin,upper_bin,temperature,t0,per,rp,a,inc,ecc,w
0,40,6978.0,7078.0,7028.0,0,108876757.32743317,3390000,157050716542,0,0,0
1,40,6978.0,7078.0,7028.0,0,115147516.89758183,3390000,161510076120,0,0,0
2,40,6978.0,7078.0,7028.0,0,121593838.38434891,3390000,165969435698,0,0,0
3,40,6978.0,7078.0,7028.0,0,128215721.78768724,3390000,170428795276,0,0,0
4,40,6978.0,7078.0,7028.0,0,135013167.10878474,3390000,174888154854,0,0,0
5,40,6978.0,7078.0,7028.0,0,141986174.34768862,3390000,179347514432,0,0,0
6,40,6978.0,7078.0,7028.0,0,149134743.50314796,3390000,183806874010,0,0,0
7,40,6978.0,7078.0,7028.0,0,156458874.57511556,3390000,188266233588,0,0,0
8,40,6978.0,7078.0,7028.0,0,163958567.5649053,3390000,192725593166,0,0,0
9,40,6978.0,7078.0,7028.0,0,171633822.4725644,3390000,197184952744,0,0,0
10,40,6978.0,7078.0,7028.0,0,179484639.29671606,3390000,201644312322,0,0,0
11,40,6978.0,7078.0,7028.0,0,187511018.0373129,3390000,206103671900,0,0,0
12,40,6978.0,7078.0,7028.0,0,195712958.69579488,3390000,210563031478,0,0,0
13,40,6978.0,7078.0,7028.0,0,204090461.2722093,3390000,215022391056,0,0,0
14,40,6978.0,7078.0,7028.0,0,212643525.76505315,3390000,219481750634,0,0,0
15,40,6978.0,7078.0,7028.0,0,221372152.17427933,3390000,223941110212,0,0,0
16,40,6978.0,7078.0,7028.0,0,230276340.50145355,3390000,228400469790,0,0,0
17,40,6978.0,7078.0,7028.0,0,239356090.7466232,3390000,232859829368,0,0,0
18,40,6978.0,7078.0,7028.0,0,248611402.90815935,3390000,237319188946,0,0,0
19,40,6978.0,7078.0,7028.0,0,258042276.98601472,3390000,241778548524,0,0,0
20,40,6978.0,7078.0,7028.0,0,267648712.98188123,3390000,246237908102,0,0,0
21,40,6978.0,7078.0,7028.0,0,277430710.8958062,3390000,250697267680,0,0,0
22,40,6978.0,7078.0,7028.0,0,287388270.7260346,3390000,255156627258,0,0,0
23,40,6978.0,7078.0,7028.0,0,297521392.4725193,3390000,259615986836,0,0,0
24,40,6978.0,7078.0,7028.0,0,307830076.13707805,3390000,264075346414,0,0,0
25,40,6978.0,7078.0,7028.0,0,318314321.71975815,3390000,268534705992,0,0,0
26,40,6978.0,7078.0,7028.0,0,328974129.2186789,3390000,272994065570,0,0,0
27,40,6978.0,7078.0,7028.0,0,339809498.63379276,3390000,277453425148,0,0,0
28,40,6978.0,7078.0,7028.0,0,350820429.9670438,3390000,281912784726,0,0,0
29,40,6978.0,7078.0,7028.0,0,362006923.21847916,3390000,286372144304,0,0,0
30,40,6978.0,7078.0,7028.0,0,373368978.38609225,3390000,290831503882,0,0,0
31,40,6978.0,7078.0,7028.0,0,384906595.4698354,3390000,295290863460,0,0,0
32,40,6978.0,7078.0,7028.0,0,396619774.47177863,3390000,299750223038,0,0,0
33,40,6978.0,7078.0,7028.0,0,408508515.39196926,3390000,304209582616,0,0,0
34,40,6978.0,7078.0,7028.0,0,420572818.22827446,3390000,308668942194,0,0,0
35,40,6978.0,7078.0,7028.0,0,432812682.98064697,3390000,313128301772,0,0,0
36,40,6978.0,7078.0,7028.0,0,445228109.65128255,3390000,317587661350,0,0,0
37,40,6978.0,7078.0,7028.0,0,457819098.2402285,3390000,322047020928,0,0,0
38,40,6978.0,7078.0,7028.0,0,470585648.7452259,3390000,326506380506,0,0,0
39,40,6978.0,7078.0,7028.0,0,483527761.1662276,3390000,330965740084,0,0,0
40,40,6978.0,7078.0,7028.0,0,496645435.5055554,3390000,335425099662,0,0,0
41,40,6978.0,7078.0,7028.0,0,509938671.7632566,3390000,339884459240,0,0,0
42,40,6978.0,7078.0,7028.0,0,523407469.9369463,3390000,344343818818,0,0,0
43,40,6978.0,7078.0,7028.0,0,537051830.0265774,3390000,348803178396,0,0,0
44,40,6978.0,7078.0,7028.0,0,550871752.0345974,3390000,353262537974,0,0,0
